INDEX	PLAYER	TEAM	AVG	G	PA	AB	R	H	2B	3B	HR	TB	RBI	SAC	SF	POSITION	YEAR	BB	IBB	HBP	SO	GDP	SLG	OBP	OPS	MH	RISP	PH-BA	XBH	GO	AO	GO/AO	GW/RBI	BB/K	P/PA	ISOP	XR	GPA
7	문규현	롯데	0.242	125	379	327	40	79	13	3	2	104	39	14	3	Infielder	2011	28	0	7	60	4	0.318	0.312	0.63	19	0.305	1	18	80	111	0.72	0	0.47	3.82	0.076	35.4	0.22
8	양종민	롯데	0.236	58	64	55	11	13	2	0	0	15	5	4	0	Infielder	2011	5	0	0	21	1	0.273	0.3	0.573	1	0.286	0.333	2	13	8	1.63	0	0.24	4.05	0.036	3.5	0.203
9	박준서	롯데	0.1	21	23	20	2	2	1	0	0	3	2	1	0	Infielder	2011	2	0	0	4	0	0.15	0.182	0.332	0	0	0.5	1	10	4	2.5	0	0.5	3.65	0.05	0.3	0.119
10	박진환	롯데	0.08	11	26	25	2	2	1	0	0	3	2	1	0	Infielder	2011	0	0	0	6	0	0.12	0.08	0.2	0	0	0.333	1	10	7	1.43	0	0	3.12	0.04	-0.9	0.066
11	오승택	롯데	0	1	1	1	0	0	0	0	0	0	0	0	0	Infielder	2011	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-	1	0	-0.1	0
11	허일	롯데	0	2	4	4	0	0	0	0	0	0	0	0	0	Infielder	2011	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	4.75	0	-0.4	0
1	손아섭	롯데	0.326	116	492	442	79	144	25	5	15	224	83	1	4	Outfielder	2011	43	1	2	80	6	0.507	0.385	0.892	40	0.327	0	45	143	79	1.81	0	0.54	3.79	0.181	82.4	0.3
2	김주찬	롯데	0.312	86	371	321	58	100	12	3	6	136	40	12	4	Outfielder	2011	27	0	7	38	4	0.424	0.373	0.797	25	0.347	0	21	90	97	0.93	0	0.71	3.43	0.112	53	0.274
3	홍성흔	롯데	0.306	132	535	474	70	145	24	2	6	191	67	0	5	Outfielder	2011	53	0	3	80	22	0.403	0.376	0.779	34	0.303	0.167	32	132	122	1.08	0	0.66	3.87	0.097	65.8	0.27
4	전준우	롯데	0.301	133	601	539	97	162	38	5	11	243	64	2	3	Outfielder	2011	50	4	7	101	14	0.451	0.366	0.817	47	0.27	0	54	147	132	1.11	0	0.5	3.93	0.15	84	0.277
5	이인구	롯데	0.267	81	182	161	26	43	5	2	2	58	14	1	0	Outfielder	2011	17	0	3	22	4	0.36	0.348	0.708	7	0.222	0.188	9	56	40	1.4	0	0.77	3.99	0.093	20.9	0.247
6	김문호	롯데	0.231	19	29	26	4	6	1	0	0	7	1	0	0	Outfielder	2011	3	1	0	7	0	0.269	0.31	0.579	1	0.125	0.167	1	7	6	1.17	0	0.43	4.31	0.038	2.2	0.207
7	황성용	롯데	0.226	57	77	62	16	14	3	1	0	19	5	4	0	Outfielder	2011	10	0	1	12	3	0.306	0.342	0.648	1	0.267	0.385	4	20	16	1.25	0	0.83	4.1	0.081	6.8	0.23
8	정보명	롯데	0.125	10	18	16	2	2	2	0	0	4	3	0	0	Outfielder	2011	1	0	1	6	0	0.25	0.222	0.472	0	0.4	0	2	7	1	7	0	0.17	3.78	0.125	0.8	0.162
9	이승화	롯데	0.12	70	90	75	12	9	1	1	0	12	3	2	1	Outfielder	2011	10	0	2	26	0	0.16	0.239	0.399	2	0.091	0	2	25	16	1.56	0	0.38	4.07	0.04	3.9	0.148
10	김민하	롯데	0	2	2	2	1	0	0	0	0	0	0	0	0	Outfielder	2011	0	0	0	2	0	0	0	0	0	0	0	0	0	0	-	0	0	4	0	-0.2	0
1	이정식	삼성	0.4	8	5	5	0	2	0	0	0	2	0	0	0	Catcher	2011	0	0	0	3	0	0.4	0.4	0.8	0	0	0	0	0	0	-	0	0	4.4	0	0.7	0.28
2	진갑용	삼성	0.273	112	331	286	26	78	7	0	10	115	42	6	1	Catcher	2011	35	2	3	53	10	0.402	0.357	0.759	14	0.325	0.313	17	84	72	1.17	0	0.66	4.08	0.129	40.6	0.261
3	현재윤	삼성	0.213	38	70	61	7	13	1	0	0	14	5	4	0	Catcher	2011	3	0	2	7	0	0.23	0.273	0.503	3	0.318	0	1	22	19	1.16	0	0.43	3.41	0.016	4.2	0.18
4	채상병	삼성	0.193	63	124	109	11	21	1	1	3	33	9	5	2	Catcher	2011	7	0	1	20	4	0.303	0.244	0.547	3	0.111	0	5	29	41	0.71	0	0.35	3.23	0.11	8	0.186
1	김상수	삼성	0.278	128	476	406	53	113	16	4	2	143	47	15	1	Infielder	2011	47	1	7	61	7	0.352	0.362	0.714	29	0.292	0	22	120	113	1.06	0	0.77	3.99	0.074	56.8	0.251
2	박석민	삼성	0.278	128	537	457	74	127	24	3	15	202	86	5	3	Infielder	2011	59	1	13	105	13	0.442	0.374	0.816	32	0.324	0	42	114	113	1.01	0	0.56	4.21	0.164	75.1	0.279
3	손주인	삼성	0.265	63	122	113	9	30	5	0	1	38	8	5	1	Infielder	2011	1	0	2	19	5	0.336	0.282	0.618	7	0.308	0	6	27	38	0.71	0	0.05	3.6	0.071	8.8	0.211
4	조영훈	삼성	0.245	98	280	245	33	60	11	0	6	89	34	0	3	Infielder	2011	27	0	5	76	1	0.363	0.329	0.692	18	0.219	0.273	17	48	64	0.75	0	0.36	3.88	0.118	33	0.239
